utente,tentativi,minuti,illecito
 73402,1,150,0
870903,2,623,1
138966,1,188,0
359521,3,621,1
397719,1,176,0
963978,5,164,0
745206,1,185,0
112568,1,171,0
904225,1,194,0
699572,2,198,0
156402,1,172,0
238837,2,139,0
369124,1,182,0
969308,1,195,0
989726,3,183,0
221527,1,179,0
165103,2,169,0
664735,2,182,0
961321,1,184,0
712588,2,186,0
663376,1,145,0
559127,1,193,0
124188,1,160,0
881169,2,215,0
533317,1,175,0
108142,1,152,0
554511,1,159,0
 55788,1,189,0
459506,4,591,1
630310,1,169,0
756007,2,176,0
455948,2,187,0
539846,1,141,0
742756,1,182,0
 63626,2,185,0
827537,1,158,0
947786,1,156,0
706426,1,175,0
725082,1,166,0
167355,1,186,0
626693,1,207,0
557007,1,177,0
806693,4,587,1
943225,3,967,1
822250,1,177,0
366949,1,162,0
 70215,2,208,0
127052,1,159,0
462656,1,203,0
803488,1,204,0
 59873,1,186,0
819926,1,204,0
697947,3,205,0
264056,1,220,0
749133,2,215,0
 16986,2,147,0
147792,3,1021,1
213832,1,215,0
253194,1,968,1
297332,4,211,0
144552,1,169,0
285409,1,147,0
371439,1,191,0
208530,2,146,0
713612,1,167,0
430029,1,207,0
747419,3,980,1
875233,2,208,0
322507,1,225,0
498978,1,172,0
404609,2,183,0
753202,1,199,0
917765,1,197,0
227446,1,174,0
686513,1,206,0
446009,3,188,0
668309,1,607,1
656527,2,183,0
463135,1,166,0
290312,4,948,1
 12348,1,190,0
 89259,1,209,0
819926,1,148,0
260567,1,163,0
641586,1,198,0
802520,2,182,0
349183,1,184,0
296370,1,194,0
893225,4,974,1
878971,1,186,0
682814,1,140,0
131603,1,192,0
413198,1,165,0
963734,1,190,0
111253,1,967,1
109437,1,191,0
254781,1,166,0
219349,1,148,0
360498,1,206,0
928685,1,184,0
253194,1,175,0
 89017,1,188,0
320587,1,199,0
138966,1,177,0
498985,2,972,1
881169,1,156,0
764481,1,164,0
 24258,1,222,0
 27439,1,188,0
881722,1,189,0
143702,3,147,0
866780,1,172,0
735045,1,154,0
680974,1,172,0
397995,1,182,0
591746,1,180,0
206374,1,196,0
205874,1,184,0
116323,1,161,0
266231,1,158,0
351252,1,154,0
505088,2,164,0
297457,2,179,0
848851,1,195,0
938928,1,182,0
952140,1,183,0
760713,1,148,0
778637,1,181,0
344564,2,180,0
849232,4,191,0
768592,1,618,1
747048,1,194,0
 73861,1,151,0
312764,1,197,0
127150,2,154,0
127052,3,574,1
589478,1,177,0
534036,1,215,0
707790,1,178,0
892335,1,165,0
293866,1,189,0
467528,1,185,0
 44994,1,193,0
135553,1,150,0
145254,2,216,0
803140,1,169,0
 72015,1,171,0
 63222,1,183,0
647623,2,187,0
362810,2,192,0
152150,1,167,0
538952,1,169,0
365193,1,200,0
590664,3,928,1
776746,2,609,1
110425,1,187,0
462656,1,181,0
260590,1,191,0
184392,1,180,0
475463,3,623,1
 33859,1,185,0
202315,1,196,0
414583,3,172,0
408228,1,179,0
413198,2,185,0
867301,1,167,0
890490,2,164,0
926180,1,156,0
498952,1,582,1
146535,1,991,1
117754,1,166,0
381617,1,151,0
559127,1,189,0
 44994,2,159,0
 74433,1,196,0
740974,1,153,0
159869,1,174,0
189142,1,164,0
910186,1,203,0
990208,3,191,0
400811,1,144,0
869107,1,185,0
674871,1,174,0
973135,1,193,0
165739,2,196,0
  3027,1,208,0
916916,2,152,0
156712,1,160,0
521774,1,185,0
647539,1,200,0
784858,1,181,0
175597,1,193,0
263916,1,157,0
329047,2,202,0
 40694,1,149,0
558785,2,167,0
344885,1,157,0
502776,1,175,0
598623,2,195,0
348533,1,152,0
110425,1,148,0
127898,1,196,0
693362,1,172,0
783875,1,150,0
129025,2,196,0
433888,1,180,0
140497,1,184,0
521650,1,179,0
357486,1,154,0
873029,1,172,0
157192,2,190,0
370286,1,206,0
973173,1,140,0
466272,1,169,0
910186,1,169,0
151388,1,209,0
707699,1,154,0
400504,1,191,0
145254,1,199,0
359649,1,166,0
912260,1,167,0
800383,1,145,0
637524,2,203,0
572309,2,157,0
838034,1,189,0
580658,1,165,0
 25700,1,192,0
497705,1,171,0
999650,1,187,0
308871,1,197,0
263367,2,186,0
593193,1,159,0
992138,3,200,0
195383,2,170,0
707102,1,160,0
507227,1,164,0
263042,1,191,0
973600,1,188,0
973922,1,176,0
905584,1,208,0
979596,1,192,0
741236,1,190,0
776168,1,538,1
661143,1,171,0
361147,1,195,0
912260,1,173,0
859699,1,194,0
924055,2,566,1
905964,1,186,0
205874,2,163,0
919657,1,133,0
865554,1,204,0
976967,1,188,0
165682,1,174,0
826515,1,163,0
710346,1,167,0
 16731,2,190,0
 76073,1,188,0
830973,1,159,0
439242,1,192,0
697547,1,199,0
802520,4,161,0
182903,1,173,0
686836,1,172,0
268050,1,231,0
477394,1,131,0
487097,1,189,0
693362,2,140,0
135666,2,197,0
905584,1,192,0
109374,1,201,0
572961,1,202,0
655462,2,174,0
707699,1,185,0
  2691,1,180,0
541208,1,181,0
157192,1,171,0
373535,1,183,0
 16681,1,197,0
819926,1,194,0
118146,1,142,0
152150,1,969,1
792693,1,157,0
793526,6,943,1
365851,1,184,0
572309,1,171,0
185821,1,158,0
 24987,1,213,0
417247,1,179,0
843610,1,194,0
255588,1,172,0
907440,2,192,0
981361,1,172,0
131279,1,190,0
875272,1,183,0
258314,1,236,0
288955,1,199,0
359649,1,177,0
687982,1,169,0
 75796,1,189,0
690843,1,169,0
404609,2,207,0
236023,2,194,0
907440,1,179,0
668864,2,983,1
825831,1,174,0
533251,2,193,0
628097,2,137,0
263350,1,189,0
202427,3,176,0
266231,2,165,0
833943,1,190,0
653774,2,956,1
937322,1,187,0
517712,1,170,0
672912,2,167,0
974898,6,183,0
  6898,1,178,0
713536,2,208,0
649854,1,181,0
205874,1,196,0
749467,1,176,0
140497,1,211,0
582059,1,195,0
307999,1,185,0
968350,1,164,0
936684,2,200,0
734469,3,211,0
685307,1,237,0
697948,1,209,0
217417,2,583,1
805489,1,178,0
  1968,1,188,0
178831,1,176,0
823135,1,182,0
306576,1,161,0
845934,1,200,0
400336,1,174,0
365193,1,171,0
322626,1,168,0
565160,3,579,1
689332,1,219,0
940031,1,173,0
546004,3,152,0
138630,1,630,1
574683,1,183,0
298042,1,175,0
685307,1,177,0
802678,1,195,0
 68728,1,184,0
615561,1,163,0
871947,1,168,0
 75206,1,980,1
832391,1,161,0
903994,1,207,0
431780,1,162,0
776168,2,177,0
763080,2,201,0
128865,1,226,0
433450,1,208,0
892335,1,157,0
202315,1,179,0
295404,1,180,0
115253,1,160,0
 73861,2,186,0
620216,1,158,0
412692,1,157,0
 96110,1,959,1
226444,1,188,0
568537,1,594,1
452393,2,181,0
712588,1,178,0
671989,1,197,0
260567,1,180,0
456679,1,139,0
255962,1,189,0
103640,2,167,0
236023,1,140,0
392495,1,186,0
904682,2,161,0
611884,2,600,1
 72385,1,147,0
641327,2,163,0
343073,1,185,0
586100,1,164,0
827438,2,166,0
761478,1,191,0
207068,1,177,0
784736,1,201,0
284122,1,177,0
463486,1,174,0
285474,1,174,0
230190,4,620,1
  7272,1,133,0
328747,1,237,0
131603,2,579,1
 67014,1,161,0
674871,1,216,0
337153,2,200,0
774838,1,185,0
368036,1,177,0
629486,1,167,0
964712,1,198,0
281128,1,248,0
673283,1,206,0
757704,1,189,0
859699,1,173,0
290312,1,186,0
425804,1,199,0
903398,1,157,0
968287,3,614,1
955408,1,210,0
307999,5,208,0
390663,1,161,0
144552,3,174,0
263042,1,171,0
172996,3,173,0
 74918,1,190,0
146535,1,200,0
976967,1,166,0
 19582,1,159,0
731128,1,168,0
851911,1,194,0
921361,1,183,0
626375,1,193,0
267281,1,194,0
498952,2,179,0
661237,1,172,0
821221,2,192,0
189142,4,593,1
417718,1,174,0
 55822,1,174,0
305908,2,201,0
406961,1,186,0
672912,1,199,0
 23530,8,593,1
822853,2,955,1
311871,1,201,0
636692,1,175,0
786322,1,151,0
480477,1,185,0
574683,1,173,0
363309,1,221,0
 58538,1,163,0
679737,2,163,0
766200,1,169,0
776168,1,199,0
861188,1,204,0
794194,7,943,1
995594,1,194,0
381617,1,170,0
300201,1,153,0
457860,2,162,0
812219,1,206,0
548710,1,160,0
160082,2,175,0
284057,1,978,1
934609,1,195,0
775550,1,201,0
900749,1,195,0
804147,1,143,0
490293,2,182,0
620742,1,964,1
591746,1,175,0
224133,1,186,0
542374,1,171,0
877603,2,170,0
898681,1,211,0
282358,1,179,0
910186,1,145,0
872674,4,194,0
193737,1,211,0
 27439,1,211,0
396476,2,977,1
142565,1,217,0
 71051,1,199,0
745743,1,169,0
799034,1,176,0
 36509,1,168,0
793526,4,625,1
231198,2,208,0
430029,1,170,0
990208,1,207,0
818172,1,150,0
362810,1,140,0
205405,1,596,1
471975,2,178,0
765218,1,171,0
732911,1,968,1
312699,1,163,0
423441,2,585,1
739544,1,167,0
266231,1,182,0
458873,1,197,0
487531,1,194,0
218428,1,959,1
317241,1,196,0
281573,1,160,0
 55822,1,565,1
973600,1,179,0
539846,1,186,0
742756,2,212,0
923803,2,179,0
765218,2,922,1
785053,1,180,0
775550,2,179,0
201809,2,177,0
527704,3,199,0
496148,2,136,0
497533,9,621,1
804341,2,169,0
550778,1,204,0
854058,3,957,1
104764,7,588,1
519728,2,167,0
670148,2,164,0
774384,1,160,0
448824,1,202,0
 31239,1,161,0
996077,1,185,0
218359,2,166,0
890490,1,186,0
485287,1,163,0
477394,1,178,0
 33719,4,983,1
142565,1,138,0
226480,1,179,0
595212,1,188,0
689433,1,149,0
193342,1,183,0
704592,1,167,0
296370,1,170,0
  7989,6,604,1
716241,1,175,0
477011,2,619,1
990208,1,186,0
129025,1,200,0
947792,5,963,1
776168,1,153,0
707723,2,955,1
784423,2,170,0
127348,2,209,0
878971,2,187,0
246838,2,143,0
874907,1,146,0
883509,1,218,0
292481,2,209,0
996494,1,204,0
636692,2,158,0
548710,1,164,0
681848,1,159,0
675209,1,182,0
703300,2,202,0
518383,1,141,0
 33859,1,148,0
865554,2,175,0
403802,1,147,0
632538,1,193,0
808744,1,176,0
152150,1,177,0
975685,2,159,0
716968,1,172,0
160520,1,174,0
831035,1,194,0
762828,1,138,0
806693,1,184,0
695384,1,191,0
850089,1,149,0
697547,1,189,0
607189,1,214,0
310080,1,160,0
991342,1,171,0
715648,1,211,0
740974,6,607,1
543258,2,191,0
175352,1,185,0
781383,1,209,0
595423,1,154,0
 99547,1,165,0
182957,4,201,0
717462,1,184,0
905584,1,194,0
878941,1,206,0
876816,1,196,0
624552,1,184,0
152150,1,173,0
726296,1,197,0
184392,1,202,0
 87192,1,171,0
575042,1,184,0
128821,1,188,0
369128,1,208,0
995293,1,951,1
618318,2,186,0
148001,1,206,0
293866,1,173,0
475463,1,213,0
753202,4,632,1
267235,2,176,0
519678,1,178,0
996601,1,185,0
229507,1,179,0
197392,1,185,0
647623,1,147,0
200075,1,174,0
294236,1,201,0
589240,1,145,0
853154,1,199,0
266615,1,214,0
491846,1,930,1
206374,1,209,0
792134,1,976,1
822853,1,147,0
201670,1,199,0
870211,2,186,0
496148,1,152,0
664531,1,178,0
389668,1,200,0
310080,1,185,0
564538,1,197,0
792278,1,163,0
145254,1,163,0
808793,1,166,0
856372,1,188,0
926180,1,194,0
193898,1,149,0
414141,2,629,1
  6898,1,171,0
446897,2,163,0
789500,1,154,0
576941,1,176,0
859699,1,197,0
881722,2,188,0
649854,2,191,0
445760,1,185,0
144552,1,180,0
394748,1,186,0
 87338,1,123,0
213862,2,955,1
620216,1,157,0
  6705,1,178,0
108401,1,980,1
695262,1,180,0
   536,1,165,0
958077,1,171,0
188288,1,162,0
306576,2,211,0
311871,1,185,0
449638,1,192,0
390581,1,191,0
533933,2,170,0
582769,1,185,0
792134,1,213,0
695262,1,179,0
792238,1,165,0
221527,1,148,0
131779,2,185,0
883701,1,198,0
704329,2,125,0
847314,2,192,0
961138,1,209,0
884797,1,150,0
910186,1,204,0
973600,2,175,0
285013,2,191,0
668864,1,200,0
 63222,1,989,1
105631,1,166,0
952794,2,183,0
806475,1,169,0
344197,1,154,0
913328,1,911,1
707102,1,185,0
 11188,3,174,0
 77880,2,213,0
296701,1,209,0
218063,1,180,0
937915,1,187,0
589547,1,186,0
926235,2,157,0
721885,2,168,0
971631,1,186,0
521774,1,199,0
742756,1,194,0
448238,2,212,0
329662,1,160,0
615398,1,157,0
184750,1,206,0
255962,1,120,0
778824,2,241,0
 61260,1,186,0
230141,2,199,0
572309,2,946,1
356921,1,141,0
491103,1,183,0
753963,3,597,1
886371,1,140,0
499189,1,176,0
696634,2,181,0
508170,1,174,0
 81088,3,185,0
379160,1,138,0
972653,1,182,0
952140,1,159,0
455979,1,175,0
957476,1,201,0
630310,1,145,0
475463,1,193,0
973173,1,176,0
536632,1,166,0
932772,1,593,1
880507,2,946,1
114099,2,172,0
207068,2,153,0
734194,1,160,0
131279,1,161,0
516704,1,187,0
786784,1,180,0
785596,3,576,1
604689,2,183,0
789500,2,195,0
356921,1,199,0
218313,1,207,0
198922,2,201,0
596039,2,196,0
372790,2,187,0
242784,1,163,0
541906,1,179,0
208375,1,133,0
707790,1,151,0
316268,1,174,0
560588,1,197,0
 43047,1,196,0
255588,1,167,0
734194,1,155,0
417247,1,982,1
175352,3,205,0
396476,1,211,0
188288,1,226,0
580658,1,164,0
310043,1,155,0
570580,1,208,0
202433,1,192,0
316749,1,232,0
497533,1,186,0
366680,2,160,0
159738,1,183,0
416803,1,197,0
284845,1,158,0
517943,2,158,0
388480,4,627,1
976967,1,187,0
343073,1,128,0
614840,1,194,0
689615,1,175,0
703224,1,184,0
988929,1,161,0
 19879,1,158,0
 61260,1,159,0
885643,1,180,0
548172,1,189,0
735045,2,192,0
160520,1,154,0
544925,3,202,0
989875,1,159,0
996274,2,200,0
480477,1,176,0
123352,5,156,0
 16681,1,160,0
993470,1,192,0
992138,2,658,1
741620,1,211,0
904682,1,193,0
  9383,1,156,0
   536,1,979,1
284057,1,156,0
574683,2,196,0
472662,1,178,0
267235,1,198,0
313661,5,970,1
512219,1,191,0
165682,1,187,0
 64814,1,148,0
937915,1,202,0
266008,3,167,0
911666,1,195,0
285997,1,205,0
446009,1,177,0
363479,2,185,0
 19879,1,161,0
118146,1,156,0
898101,1,203,0
213163,1,176,0
979596,3,190,0
 59873,1,178,0
 62742,2,173,0
 64814,1,168,0
193467,1,152,0
168124,2,196,0
439242,1,176,0
 28729,2,160,0
 23290,1,189,0
251407,1,185,0
904682,2,152,0
487704,1,167,0
838244,1,195,0
117512,1,179,0
433450,1,153,0
705149,2,219,0
803488,1,214,0
369601,1,144,0
583272,2,183,0
401151,2,160,0
513980,1,168,0
128865,1,145,0
857002,1,178,0
506022,1,134,0
312192,1,181,0
160082,1,604,1
 74918,1,175,0
 73259,1,181,0
572309,3,195,0
 13294,1,185,0
133670,2,185,0
707403,1,628,1
128821,2,223,0
299513,1,176,0
512219,1,175,0
577299,1,207,0
366680,3,183,0
704548,2,170,0
939122,3,159,0
193898,1,187,0
772321,1,225,0
171731,1,184,0
716092,1,168,0
297745,1,169,0
263042,1,197,0
 19879,1,171,0
372790,6,601,1
820548,1,603,1
326205,1,186,0
229629,1,179,0
115766,2,188,0
284122,2,209,0
261858,5,174,0
969279,1,150,0
260590,1,195,0
 55198,1,209,0
611513,1,630,1
 31239,1,185,0
236898,1,186,0
474488,1,197,0
732911,1,166,0
362752,2,155,0
 44994,1,190,0
977219,1,195,0
911696,1,194,0
242784,4,919,1
729136,1,207,0
985855,1,141,0
466272,1,201,0
672897,1,202,0
 34179,2,179,0
810427,5,983,1
838244,1,157,0
 71329,1,171,0
774193,1,171,0
504206,1,157,0
 54698,1,178,0
867029,1,173,0
329714,1,203,0
922275,1,179,0
124173,1,153,0
427078,1,203,0
377090,1,149,0
421361,1,206,0
971649,1,164,0
804878,1,169,0
263042,1,162,0
267281,1,179,0
 18077,1,209,0
343822,1,219,0
174838,2,177,0
600623,1,205,0
996077,1,182,0
639954,3,632,1
565160,1,189,0
 19582,1,181,0
405544,1,177,0
550778,1,196,0
 23530,3,967,1
434303,1,159,0
703224,1,201,0
479333,1,178,0
785771,1,209,0
849232,1,213,0
209909,1,953,1
423359,1,188,0
158207,1,201,0
297745,2,154,0
408022,1,186,0
343524,2,635,1
995594,1,202,0
670148,1,181,0
869107,1,178,0
905964,2,192,0
665680,1,174,0
555583,1,163,0
560532,1,187,0
891526,1,198,0
502915,1,160,0
343073,2,187,0
555583,1,176,0
548783,1,174,0
122740,1,177,0
160473,2,147,0
209909,1,178,0
314008,1,256,0
  8666,1,191,0
804341,1,154,0
519728,1,158,0
175352,1,163,0
786322,2,247,0
274106,4,608,1
818172,1,224,0
854576,1,187,0
417028,1,176,0
995594,1,179,0
290312,2,210,0
817264,1,158,0
216512,2,187,0
266008,1,204,0
232478,1,185,0
208530,1,127,0
704404,1,170,0
329714,1,155,0
497145,1,145,0
306631,2,177,0
307515,1,187,0
931686,2,170,0
156420,1,154,0
335779,1,150,0
446897,1,181,0
947786,2,158,0
251407,1,177,0
397719,1,111,0
651566,1,178,0
408022,2,162,0
687923,3,154,0
296701,3,606,1
831035,5,942,1
326205,1,157,0
574683,1,172,0
696634,1,143,0
939122,1,210,0
799034,1,183,0
787334,1,202,0
 68728,2,186,0
818779,1,185,0
158207,1,213,0
497705,1,185,0
477011,1,171,0
362810,1,175,0
267281,1,176,0
958119,1,167,0
248391,2,174,0
845640,1,161,0
 97510,1,201,0
 40694,1,199,0
124173,1,203,0
314008,1,195,0
158207,2,182,0
741141,2,158,0
946516,2,154,0
361147,1,161,0
 43567,2,185,0
789549,5,607,1
267235,2,192,0
379160,1,188,0
416803,1,166,0
541208,1,183,0
115082,1,145,0
 63943,1,957,1
620216,1,148,0
142225,1,199,0
968350,1,172,0
233530,2,204,0
138458,1,174,0
746498,1,623,1
881722,3,593,1
430876,2,146,0
838826,1,203,0
996494,1,186,0
770791,1,190,0
281079,2,213,0
538175,1,185,0
746522,1,199,0
892335,4,621,1
391652,1,192,0
130567,1,186,0
394675,1,197,0
711432,1,158,0
726726,2,200,0
486872,4,611,1
159738,1,592,1
281573,1,191,0
739544,1,199,0
831035,1,190,0
414141,1,184,0
541906,1,138,0
512219,4,631,1
261171,1,185,0
 74433,1,191,0
343822,1,181,0
679891,1,167,0
604067,1,195,0
138966,1,165,0
379092,3,185,0
316268,1,182,0
408150,1,193,0
298652,2,175,0
472662,3,592,1
968350,2,203,0
216512,1,188,0
745206,1,204,0
268513,1,156,0
308871,1,181,0
255588,1,205,0
220387,1,188,0
315248,1,183,0
614261,1,183,0
153569,4,974,1
112568,1,601,1
167505,6,999,1
373535,1,167,0
867029,1,146,0
338859,1,150,0
295288,1,198,0
647539,1,202,0
288315,1,185,0
740974,1,210,0
633718,8,967,1
459276,2,189,0
306482,1,182,0
213774,1,155,0
233530,1,170,0
490293,1,165,0
664531,1,174,0
135553,1,157,0
446181,1,159,0
403165,1,172,0
192724,1,153,0
832391,3,977,1
805489,2,178,0
704404,1,202,0
846144,2,162,0
550611,1,178,0
401490,1,200,0
218428,1,173,0
330332,2,171,0
152150,2,164,0
723681,1,174,0
631264,1,189,0
650114,1,183,0
 12348,1,200,0
403830,1,171,0
200021,1,167,0
873148,1,175,0
 24987,1,200,0
405287,2,150,0
604067,1,179,0
958119,1,185,0
  2206,1,182,0
387321,1,175,0
479449,1,200,0
735852,1,158,0
405431,1,216,0
992477,1,182,0
716241,1,183,0
 59873,1,155,0
261735,2,168,0
497705,2,193,0
673107,1,204,0
446897,1,181,0
316749,1,181,0
503460,2,165,0
446009,1,173,0
905052,1,604,1
721885,1,158,0
679891,1,190,0
684504,1,178,0
687982,1,169,0
322626,1,214,0
117754,1,188,0
204738,1,212,0
205874,1,186,0
213629,2,191,0
595212,1,171,0
403830,2,177,0
117458,1,186,0
521774,2,182,0
 48797,1,180,0
612466,1,138,0
598623,1,189,0
690763,1,152,0
288891,1,204,0
702806,1,146,0
457551,1,162,0
 99547,1,153,0
686836,1,174,0
400811,1,184,0
508170,1,203,0
661538,1,207,0
366949,2,196,0
 89259,1,190,0
254056,1,230,0
543258,1,157,0
225045,2,171,0
123398,2,163,0
506022,1,161,0
530420,1,163,0
746522,1,222,0
739419,1,147,0
759777,1,163,0
 87859,1,973,1
670005,1,175,0
687982,1,200,0
732911,1,199,0
104764,1,133,0
143702,2,195,0
739036,1,214,0
946516,1,193,0
108401,1,175,0
937322,1,163,0
198922,3,583,1
252935,5,979,1
398469,1,192,0
213832,1,196,0
745180,1,956,1
855122,1,193,0
661143,2,182,0
778824,1,191,0
353278,1,173,0
146511,1,182,0
329714,2,174,0
347789,1,953,1
226964,1,144,0
920836,1,164,0
541208,1,166,0
829584,1,137,0
831035,1,169,0
579016,2,167,0
690763,1,151,0
495106,1,199,0
 44090,1,153,0
143188,1,165,0
668864,3,196,0
705149,1,209,0
785771,3,174,0
858931,1,172,0
913328,1,206,0
168124,1,172,0
618114,1,184,0
688710,1,188,0
699017,1,194,0
740738,1,187,0
804693,5,940,1
642406,1,176,0
482396,1,642,1
 87859,1,212,0
443369,1,563,1
889804,1,168,0
  8520,3,180,0
397511,1,215,0
980712,1,225,0
446181,1,170,0
 75796,1,189,0
899733,2,157,0
695384,1,150,0
976650,2,163,0
819926,1,606,1
994963,1,129,0
544704,1,183,0
127052,1,161,0
607189,1,606,1
401151,1,177,0
371134,4,200,0
920051,1,183,0
910356,2,194,0
506022,1,185,0
598036,1,177,0
368131,1,171,0
551973,2,170,0
765946,1,201,0
298652,1,221,0
284057,1,186,0
206066,1,220,0
123352,2,143,0
779148,1,181,0
704329,1,197,0
 63222,1,154,0
468924,1,177,0
977345,1,190,0
869107,1,221,0
905052,1,191,0
628097,1,202,0
130578,1,208,0
812506,1,201,0
343624,1,179,0
591406,3,172,0
867301,1,198,0
715648,2,181,0
831964,1,158,0
 55788,1,176,0
266008,1,164,0
900749,1,188,0
849811,1,243,0
845934,1,193,0
994963,1,143,0
475083,1,190,0
381617,1,185,0
364369,1,169,0
989792,1,176,0
737939,1,203,0
474236,3,969,1
613484,2,195,0
996026,1,187,0
677815,1,194,0
604904,1,178,0
689433,1,226,0
255962,1,151,0
 23290,1,193,0
402462,1,165,0
498985,1,179,0
329714,1,197,0
571187,1,177,0
991342,2,971,1
878971,1,176,0
626693,2,165,0
472662,2,149,0
189166,2,997,1
990221,3,191,0
292875,1,153,0
917765,1,193,0
142725,1,207,0
753963,1,197,0
962600,2,172,0
892335,2,188,0
108401,2,153,0
  9960,1,199,0
382578,1,202,0
670148,1,169,0
 69469,1,144,0
343524,1,211,0
621709,1,184,0
576941,1,174,0
 15209,1,157,0
797636,2,169,0
266231,1,170,0
425804,2,585,1
145254,1,188,0
 25700,2,164,0
350421,4,166,0
663376,1,180,0
614149,1,166,0
497705,4,989,1
 87808,1,177,0
529985,1,178,0
475083,2,184,0
391814,1,181,0
213774,1,154,0
264935,2,188,0
551785,1,176,0
417247,1,219,0
554565,2,939,1
478326,3,146,0
877491,1,177,0
